LC,Grade,itemkey,Source,questionkey,correctanswervalue,mostcommonwronganswer,total_students,pct_A,pct_B,pct_C,pct_D,pct_E,pct_F,reportingquestiontypename,pct_G,Question Text,Image Summary,choice_A,DR A,choice_B,DR B,choice_C,DR C,choice_D,DR D,choice_E,DR E,choice_F,DR F,choice_G,DR G,Image Summary (if present),MostCommonDR,Learning_Component_Text
MATH-00015,2,i129696,Interim_eedi,q125245,C,B,7982.0,11.237785016286,25.31946880481,63.555499874718,,,,MULTICHOICE,,Which unit would be the best unit for measuring the length of a book?,,yards,Student chose a unit that is too large; possibly confused yards with inches.,meters,Student chose a unit that is too large; possibly confused meters with centimeters.,centimeters,Correct.,,,,,,,,,,Student chose a unit that is too large; possibly confused meters with centimeters.,"Select an appropriate tool to measure the length, in standard units, of an object"
MATH-00015,2,i129698,Interim_eedi,q125249,B,A,13710.0,25.433989788475,53.705324580598,21.283734500364,,,,MULTICHOICE,,Which object would be best measured in meters?,,key,Student chose the smallest object; possibly confused meters with centimeters.,boat,Correct.,shoe,Student chose an object smaller than a meter; possibly confused meters with centimeters.,,,,,,,,,,Student chose the smallest object; possibly confused meters with centimeters.,"Select an appropriate tool to measure the length, in standard units, of an object"
MATH-00016,2,i184954,Compass,q187726,A,C,226.0,17.699115044247787,11.061946902654867,71.23893805309734,,,,MULTICHOICE,,"Sam is measuring a toy house. What is the length of the toy house, in centimeters?","Image shows a toy house being measured with a ruler. The toy house is aligned to the ruler, with its left edge at 4 cm and its right edge at 24 cm, giving a total measured length of 20 cm.",20,Correct.,21,Student counted the number of marked intervals instead of measuring the total length based on unit divisions.,24,Student chose the number on the ruler aligned to the end of the object being measured and did not account for the measurement not starting at zero.,,,,,,,,,,Student chose the number on the ruler aligned to the end of the object being measured and did not account for the measurement not starting at zero.,"Use an appropriate tool to measure the length, in standard units, of an object"
MATH-00016,2,i162717,Interim_eedi,q169182,A,C,15265.0,27.088110055682,14.660989190959,58.526039960694,,,,MULTICHOICE,,"Sam is measuring a toy house. What is the length of the toy house, in centimeters?","A detailed illustration of a two-story toy dollhouse is shown positioned above a centimeter ruler (0–30 cm). The left edge of the toy house aligns with the 4 cm mark, and the right edge aligns with the 24 cm mark, indicating a length of 20 cm.",20,Correct.,21,"Student counted the number of whole number hash marks, rather than the number of centimeters, along the part of the ruler the toy house covers.",24,Student chose the number aligned to the end of the toy house; did not subtract to account for the measurement not starting at zero.,,,,,,,,,,Student chose the number aligned to the end of the toy house; did not subtract to account for the measurement not starting at zero.,"Use an appropriate tool to measure the length, in standard units, of an object"
MATH-00017,2,i184955,Compass,q187727,C,B,123.0,25.203252032520325,42.27642276422764,32.520325203252035,,,,MULTICHOICE,,"Donna measures the length of a straw using centimeters and inches. Based on her measurements, which statement is true?","Image shows a straw being measured twice: once with a centimeter ruler and once with an inch ruler, illustrating that the straw measures more centimeters than inches because centimeters are a smaller unit.",It takes fewer centimeters to measure the length of the straw because centimeters are smaller than inches.,Student correctly identified that the unit is smaller but mistakenly thought that a smaller unit would result in a smaller measurement instead of requiring more units.,It takes more centimeters to measure the length of the straw because centimeters are larger than inches.,Student correctly identified that more of one unit is needed but mistakenly thought that the unit was larger rather than smaller.,It takes more centimeters to measure the length of the straw because centimeters are smaller than inches.,Correct.,,,,,,,,,,Student correctly identified that more of one unit is needed but mistakenly thought that the unit was larger rather than smaller.,Describe how two measurements for the same object relate to the size of the units chosen
MATH-00017,2,i185612,Compass,q188638,A,C,113.0,43.36283185840708,27.43362831858407,29.20353982300885,,,,MULTICHOICE,,Maizie measures the length of the same piece of string using pencils and paperclips. Which statement is true?,An image shows a piece of string being measured. Two measuring tools are depicted: pencils (larger units) and paperclips (smaller units) laid end-to-end along the string to measure its length.,It takes fewer pencils to measure the piece of string because the pencils are larger than the paperclips.,Correct.,It takes more pencils to measure the piece of string because the pencils are larger than the paperclips.,"Student correctly identified the smaller of the two given units, but confused the connection between size and number of units needed.",It takes the same number of pencils and paperclips to measure the piece of string because she is measuring the same object.,Student did not understand how the size of the measuring unit impacts the number of units needed to make the measurement.,,,,,,,,,,Student did not understand how the size of the measuring unit impacts the number of units needed to make the measurement.,Describe how two measurements for the same object relate to the size of the units chosen
MATH-00017,2,i110238,Interim_eedi,q110230,C,A,7441.0,30.38570084666,25.991130224432,43.824754737266,,,,MULTICHOICE,,"Donna measures the length of a straw using centimeters and inches. Based on her measurements, which statement is true?","Two rulers are shown stacked vertically, both measuring the same straw. The top ruler shows inches (0–3), and the straw spans approximately 3 inches. The bottom ruler shows centimeters (0–8), and the same straw spans approximately 8 centimeters. The straw object (an oval/ellipse shape) is shown between the two rulers.",It takes fewer centimeters to measure the length of the straw because centimeters are smaller than inches.,"Student correctly identified centimeters as smaller units than inches, but confused the connection between size and number of units needed.",It takes more centimeters to measure the length of the straw because centimeters are larger than inches.,"Student correctly identified that it would take more centimeters than inches to measure the straw, but confused the relative sizes of inches and centimeters.",It takes more centimeters to measure the length of the straw because centimeters are smaller than inches.,Correct.,,,,,,,,,,"Student correctly identified centimeters as smaller units than inches, but confused the connection between size and number of units needed.",Describe how two measurements for the same object relate to the size of the units chosen
MATH-00018,2,i113079,Interim_eedi,q103246,A,B,4300.0,48.023255813953,26.720930232558,25.441860465116,,,,MULTICHOICE,,Marcelo measured a piece of string two times using different units. One measurement was 1 unit long and the other measurement was 3 units long. Which could have been Marcelo's measurements?,,1 yard; 3 feet,Correct.,1 foot; 3 yards,Student reversed the relative sizes of yards and feet.,1 inch; 3 yards,"Student thought yards were smaller than inches, and therefore thought the measurement in yards would be greater.",,,,,,,,,,Student reversed the relative sizes of yards and feet.,"Measure the length of an object twice, using different length units for the two measurements"
MATH-00018,2,i155098,Interim_eedi,q161757,C,B,182.0,7.692307692307,14.835164835164,77.472527472527,,,,MULTICHOICE,,Kandace uses small paperclips and large paperclips to measure the length of a toy train. Which is true about the length of the toy train?,A toy train (subway/metro style) is shown in the center. Above the train is a row of 6 large paperclips laid end-to-end spanning the train's length. Below the train is a row of 3 small paperclips laid end-to-end spanning the same length. The image demonstrates that 6 small paperclips equal 3 large paperclips in measuring the same object.,The length of the toy train is 9 paperclips.,Student added the number of small paperclips and large paperclips used to measure the toy train.,The length of the toy train is 3 small paperclips or 6 large paperclips.,"Student used the paperclips to measure correctly, but swapped the lengths as measured by the two different paper clips.",The length of the toy train is 6 small paperclips or 3 large paperclips.,Correct.,,,,,,,,,,"Student used the paperclips to measure correctly, but swapped the lengths as measured by the two different paper clips.","Measure the length of an object twice, using different length units for the two measurements"
MATH-00018,2,i175686,Interim_eedi,q178153,A,B,3051.0,50.049164208456,25.434283841363,24.582104228121,,,,MULTICHOICE,,Marcelo has joined a knitting club. He measured a piece of yarn two times using different units. One measurement was 1 unit long and the other measurement was 3 units long. Which could have been Marcelo's measurements?,"An illustration shows three people sitting in chairs in a circle, all engaged in knitting. Balls of yarn are on the floor near each person's feet.",1 yard; 3 feet,Correct.,1 foot; 3 yards,Student reversed the relative sizes of yards and feet.,1 inch; 3 yards,"Student thought yards were smaller than inches, and therefore thought the measurement in yards would be greater.",,,,,,,,,,Student reversed the relative sizes of yards and feet.,"Measure the length of an object twice, using different length units for the two measurements"
MATH-00020,2,i184959,Compass,q187732,A,B,235.0,31.48936170212766,60.851063829787236,7.659574468085107,,,,MULTICHOICE,,Use the ruler in the picture to answer the question below. How many centimeters longer is the paintbrush than the tube of paint?,"Image shows a ruler with a paintbrush and a tube of paint placed beneath it. The paintbrush measures 16 cm and the tube of paint measures 9 cm, for a difference of 7 cm.",7,Correct.,16,Student identified the length of one object but did not compare it to the other measurement.,25,Student added the lengths of the two objects instead of subtracting.,,,,,,,,,,Student identified the length of one object but did not compare it to the other measurement.,Measure to determine how much longer one object is than another
MATH-00020,2,i112047,Interim_eedi,q102220,A,C,4345.0,62.23245109321,13.509781357882,24.533947065592,,,,MULTICHOICE,,Use the picture to answer the question below. How many inches taller is the taller plant than the shorter plant?,"A vertical ruler (labeled ""Inches"") from 0 to 8 is shown on the left. Two sunflower plants are placed next to it. A shorter plant reaches up to the 4-inch mark (dashed line), and a taller plant reaches up to the 7-inch mark (dashed line). The difference between the two heights is 3 inches.",3,Correct.,4,"Student used the ruler to count the distance between the heights of the two plants, but included the 4 when counting up OR student measured the height of the shorter plant, but did not compare the measurement to the height of the taller plant.",7,"Student measured the height of the taller plant, but did not compare the measurement to the height of the shorter plant.",,,,,,,,,,"Student measured the height of the taller plant, but did not compare the measurement to the height of the shorter plant.",Measure to determine how much longer one object is than another
MATH-00020,2,i130921,Interim_eedi,q126761,A,B,15553.0,44.673053430206,46.048993763261,9.573715681862,,,,MULTICHOICE,,Use the ruler in the picture to answer the question below. How many centimeters longer is the paintbrush than the tube of paint?,"A horizontal centimeter ruler (1–18 cm) is shown. Above the ruler is a rectangular tube of paint labeled ""paint"" that spans from 1 cm to approximately 9 cm (length ~9 cm). Below/overlapping is a long paintbrush that spans from 1 cm to approximately 16 cm (length ~16 cm). The paintbrush is 7 cm longer than the paint tube.",7,Correct.,16,Student found the length of the paintbrush without comparing the two measurements.,25,Student added the lengths of the two objects.,,,,,,,,,,Student found the length of the paintbrush without comparing the two measurements.,Measure to determine how much longer one object is than another
MATH-00022,2,i138103,Interim_eedi,q142517,A,B,4576.0,63.789335664335,29.676573426573,6.687062937062,,,,MULTICHOICE,,"Katelyn has blue and yellow string. She has 20 inches of blue string. She has 55 inches of string in all. Which number sentence can Katelyn solve to find ♦, the number of inches of yellow string she has?",,20 + ♦ = 55,Correct.,20 + 55 = ♦,Student chose a number sentence that added the two values.,55 + ♦ = 20,Student chose a number sentence that switched the sum with an addend.,,,,,,,,,,Student chose a number sentence that added the two values.,"Use equations, with a symbol for the unknown number, to represent addition within 100 in word problems involving length"
MATH-00022,2,i171392,Interim_eedi,q175542,A,B,3045.0,60.853858784893,31.395730706075,7.816091954022,,,,MULTICHOICE,,"Angel is the owner of a craft store. Angel sold a customer some blue and yellow string that will be used on a sign for an anti-war protest. 20 inches of the string sold was blue. 55 inches of string in all was sold. Which number sentence can Angel solve to find ♦, the number of inches of yellow string that was sold?","An illustration of a craft store interior: a store clerk stands behind a counter, a customer stands on the other side. Behind the clerk are shelves with various craft supplies. Near the customer is a sign leaning against the counter that reads ""END WAR"" (shown in reverse/mirror image). The store name ""CRAFTS"" is visible in the background (also reversed).",20 + ♦ = 55,Correct.,20 + 55 = ♦,Student chose a number sentence that added the two values.,55 + ♦ = 20,Student chose a number sentence that switched the sum with an addend.,,,,,,,,,,Student chose a number sentence that added the two values.,"Use equations, with a symbol for the unknown number, to represent addition within 100 in word problems involving length"
MATH-00026,2,i110184,Interim_eedi,q110215,A,C,12616.0,42.319277108433,22.693405199746,35.779961953075,,,,MULTICHOICE,,"In Janet's front yard, the pine tree is 24 meters tall and the maple tree is 33 meters tall. How many meters taller is the maple tree than the pine tree?",,9,Correct.,11,Student miscalculated the difference between 33 and 24; subtracted 3 from 4 in the ones place instead of regrouping.,57,Student misinterpreted the context as one requiring addition rather than subtraction.,,,,,,,,,,Student misinterpreted the context as one requiring addition rather than subtraction.,Use subtraction within 100 to solve word problems involving lengths that are given in the same units
MATH-00028,2,i138650,Interim_eedi,q143448,C,B,12196.0,11.962938668415,13.561823548704,74.754017710724,,,,MULTICHOICE,,Which number line has a box where the number 31 should be?,"Three number lines are shown: A) A number line from 15 to 25, with a box/blank positioned at what appears to be the 21 mark. B) A number line from 25 to 35, with a box/blank positioned just to the left of the 30 mark (around 29). C) A number line from 25 to 35, with a box/blank positioned just to the right of the 30 mark (at 31) — the correct answer.","[Number line 15–25, box at ~21]",Student confused 21 for 31.,"[Number line 25–35, box left of 30 at ~29]",Student confused 29 for 31; perhaps thought 31 would be one hash mark to the left of 30 rather than one hash mark to the right of 30.,"[Number line 25–35, box right of 30 at 31]",Correct.,,,,,,,,,,Student confused 29 for 31; perhaps thought 31 would be one hash mark to the left of 30 rather than one hash mark to the right of 30.,Represent whole numbers as lengths on a number line diagram
MATH-00029,2,i115333,Interim_eedi,q100491,A,C,1872.0,67.948717948717,15.384615384615,16.826923076923,,,,MULTICHOICE,,Which number line shows 9 − 3?,"Three number lines are shown, each spanning 0 to 20. A) A curved arc starts at 9 and jumps left (back) 3 units to land on 6 — correct representation of 9−3. B) A curved arc starts at 9 and jumps right 3 units to land on 12 — represents 9+3. C) A curved arc starts at 3 and jumps right to 9 — covers the space between 3 and 9 but does not start at 9.",[Number line: jump left from 9 to 6],Correct.,[Number line: jump right from 9 to 12],Student chose an option representing 9 + 3; may have been confused about directionality when mapping operations onto a number line.,[Number line: jump from 3 to 9],Student attempted to represent the difference between 9 and 3 but counted the hash marks between the starting point and the end point.,,,,,,,,,,Student attempted to represent the difference between 9 and 3 but counted the hash marks between the starting point and the end point.,Represent whole-number differences on a number line diagram
MATH-00029,2,i138647,Interim_eedi,q143444,B,A,11173.0,32.542736955159,50.004475073838,17.721292401324,,,,MULTICHOICE,,Which expression is represented on the number line below?,A number line from 30 to 50+ is shown. A curved arc starts at approximately 49 and jumps left (decreasing direction) 7 units to land at approximately 42. This represents subtracting 7 from 49.,42 − 7,Student chose the correct operation but subtracted the distance between the points from the ending value.,49 − 7,Correct.,49 + 7,Student added the distance between the points to the starting value rather than subtracting it.,,,,,,,,,,Student chose the correct operation but subtracted the distance between the points from the ending value.,Represent whole-number differences on a number line diagram
MATH-00030,2,i112487,Interim_eedi,q102224,C,B,7013.0,21.260516184229,35.020675887637,44.003992585198,,,,MULTICHOICE,,Which point on the number line represents 10 more than 47?,"A number line from 30 to 60+ is shown with three labeled points: Point A is at approximately 37, Point B is at approximately 48, and Point C is at approximately 57. The number line has tick marks at each integer.",A,Student chose the point that is ten less instead of ten more.,B,Student chose the point that is one more instead of ten more.,C,Correct.,,,,,,,,,,Student chose the point that is one more instead of ten more.,Represent whole-number sums on a number line diagram
MATH-00030,2,i113134,Interim_eedi,q100339,C,A,421.0,38.479809976247,23.75296912114,38.004750593824,,,,MULTICHOICE,,Charlotte had 14 apples in her basket. Then she picked 4 more apples and put them in her basket. Which number line can Charlotte use to find the total number of apples in her basket?,"Three number lines are shown, each spanning 0 to 20 with tick marks. A) A curved arc/jump spans from approximately 4 to 18 (a jump of 14 units starting at 4). B) A curved arc/jump spans from approximately 10 to 14 (a jump of 4 units starting at 10). C) A curved arc/jump spans from 14 to 18 (a jump of 4 units starting at 14) — this is the correct representation of starting at 14 and adding 4.",[Number line: jump from ~4 to ~18],"Student confused the initial value, increase value, and ending value; possibly interpreted the problem as finding the difference between 4 and 14.",[Number line: jump from ~10 to ~14],Student correctly represented an increase of 4 but incorrectly subtracted the two values in the problem to determine the initial value instead of using 14; possibly thought 14 was the final sum.,[Number line: jump from 14 to 18],Correct.,,,,,,,,,,"Student confused the initial value, increase value, and ending value; possibly interpreted the problem as finding the difference between 4 and 14.",Represent whole-number sums on a number line diagram
MATH-00030,2,i138652,Interim_eedi,q143452,C,A,4292.0,20.503261882572,18.825722273998,61.160298229263,,,,MULTICHOICE,,Karly has 23 crayons. Anna has 10 more crayons than Karly. Which point shows the number of crayons Anna has?,"A number line from 10 to 40 is shown with three labeled points: Point A is at approximately 13 (10 less than 23), Point B is at approximately 24 (1 more than 23), and Point C is at approximately 33 (10 more than 23).",Point A,Student chose 10 fewer than 23; confused about how the relationship between the given values and the missing value maps to directionality on the number line.,Point B,Student chose 1 more than 23 instead of 10 more than 23.,Point C,Correct.,,,,,,,,,,Student chose 10 fewer than 23; confused about how the relationship between the given values and the missing value maps to directionality on the number line.,Represent whole-number sums on a number line diagram
MATH-00030,2,i175681,Interim_eedi,q178148,C,A,2207.0,19.438151336656,19.302220208427,61.350249207068,,,,MULTICHOICE,,Karly and Anna are helping their teachers make posters to raise money for the second grade trip to the science museum. They are using crayons to make the posters. Karly has 23 crayons. Anna has 10 more crayons than Karly. Which point shows the number of crayons Anna has?,"A number line from 10 to 40 is shown with three labeled points: Point A is at approximately 13 (10 less than 23), Point B is at approximately 24 (1 more than 23), and Point C is at approximately 33 (10 more than 23).",Point A,"Student chose 10 fewer than 23; perhaps confused directionality when determining how to represent 10 ""more"" on the number line.",Point B,Student chose 1 more than 23 instead of 10 more than 23.,Point C,Correct.,,,,,,,,,,"Student chose 10 fewer than 23; perhaps confused directionality when determining how to represent 10 ""more"" on the number line.",Represent whole-number sums on a number line diagram
MATH-00035,2,i112538,Compass,q100690,C,B,11191.0,20.918595299794,28.317397909034,51.01420784559,,,,MULTICHOICE,,Which clock shows 5 minutes after 7 at night?,Three digital alarm clock images are shown as answer choices. Answer A shows a digital clock displaying 7:05 AM. Answer B shows a digital clock displaying 5:07 PM. Answer C shows a digital clock displaying 7:05 PM.,7:05 AM (digital clock),"Student used AM instead of PM for ""night.""",5:07 PM (digital clock),Student confused hours and minutes.,7:05 PM (digital clock),Correct.,,,,,,,,,,Student confused hours and minutes.,"Tell time from a digital clock, using a.m. and p.m. when appropriate"
MATH-00037,2,i111648,Compass,q102381,A,C,465.0,46.236559139784,16.559139784946,37.204301075268,,,,MULTICHOICE,,Ashwin has the coins shown in the picture. He buys a pen for 55¢. How much money does he have left over after buying the pen?,Two rows of coins are shown. The top row contains 5 coins: 1 quarter and 4 nickels (larger coins with portrait faces visible). The bottom row contains 4 smaller coins that appear to be pennies (Lincoln memorial cents). Together the coins total 64¢ (25¢ + 20¢ + 4¢ + some combination consistent with a starting value of 64¢ to yield 9¢ change after spending 55¢).,9¢,Correct.,14¢,"Student confused the value of a nickel and a dime; determined the starting amount was 69 cents, and subtracted 55 from 69.",34¢,Student took away the quarter and 1 nickel instead of taking away 55 cents; possibly thought 1 quarter was worth 50 cents.,,,,,,,,,,Student took away the quarter and 1 nickel instead of taking away 55 cents; possibly thought 1 quarter was worth 50 cents.,Solve word problems involving subtracting amounts of money given in coins and/or dollars
MATH-00037,2,i138999,Interim_eedi,q144186,B,A,8107.0,26.298260762304,54.878500061675,19.045269520167,,,,MULTICHOICE,,Mariel has 47¢. She needs $1 to buy a popsicle. How much more money does Mariel need to be able to buy the popsicle?,,46¢,Student subtracted 1 cent from 47 cents.,53¢,Correct.,147¢,Student added the two values.,,,,,,,,,,Student subtracted 1 cent from 47 cents.,Solve word problems involving subtracting amounts of money given in coins and/or dollars
MATH-00038,2,i111931,Compass,q100691,C,B,1.0,,100.0,,,,,MULTICHOICE,,Rex has 2 quarters and 3 dimes. How much money does Rex have?,,5¢,Student counted the number of coins (5) instead of the total value of the coins.,35¢,Student found the value of one of each type of coin.,80¢,Correct.,,,,,,,,,,Student found the value of one of each type of coin.,Solve word problems involving adding amounts of money given in coins and/or dollars
MATH-00038,2,i112099,Compass,q100828,A,C,461.0,31.887201735357,22.34273318872,45.770065075921,,,,MULTICHOICE,,"Sofia has 6 quarters, 3 dimes, and 4 nickels. How much money does Sofia have?",,$2,Correct.,13¢,Student found the number of coins.,$2 and 5¢,Student confused the values of nickels and dimes.,,,,,,,,,,Student confused the values of nickels and dimes.,Solve word problems involving adding amounts of money given in coins and/or dollars
MATH-00038,2,i138998,Interim_eedi,q144185,C,A,8225.0,20.401215805471,13.386018237082,66.382978723404,,,,MULTICHOICE,,Cintia has 3 dimes and 4 nickels. How much money does Cintia have?,,7¢,Student counted the number of coins (7) instead of the total value of the coins.,15¢,Student found the value of one of each type of coin.,50¢,Correct.,,,,,,,,,,Student counted the number of coins (7) instead of the total value of the coins.,Solve word problems involving adding amounts of money given in coins and/or dollars
MATH-00042,2,i112467,Interim_eedi,q110913,B,C,9858.0,15.53053357679,60.133901399878,24.6195982958,,,,MULTICHOICE,,Katrina asked students in her class how they get to school. She created the picture graph below based on their answers. How many students take a bus or car to school?,"A picture graph titled ""How Students Get to School"" is shown. Each person icon = 1 student. Walk row: 2 icons. Bus row: 9 icons. Car row: 5 icons. Key shows 1 icon = 1 student.",4,Student found how many more students take a bus than a car.,14,Correct.,16,Student found the total number of students using all three transportation methods.,,,,,,,,,,Student found the total number of students using all three transportation methods.,"Solve one-step, put-together problems using information presented in a bar graph"
MATH-00044,2,i112899,Interim_eedi,q103360,B,C,9799.0,18.899887743647,50.433717726298,30.992958465149,,,,MULTICHOICE,,The bar graph below shows the number of boxes of food each teacher's class collected for the food drive. How many more boxes of food did Mr. Rodriguez's class collect than Mr. Jones's class?,"A vertical bar graph titled ""Food Drive"" is shown with the y-axis labeled ""Boxes of Food"" (scale 0–10) and the x-axis labeled ""Classes."" Four bars are shown: Mr. Rodriguez's class = 9 boxes, Mr. Patel's class = 5 boxes, Mrs. White's class = 7 boxes, Mr. Jones's class = 4 boxes.",4,"Student counted how many numbers fall between 4 and 9 instead of finding the difference between 4 and 9, OR found the difference between Mr. Rodriguez's class and Mr. Patel's class.",5,Correct.,13,"Student added the number of boxes in Mr. Rodriguez's class and Mr. Jones's class; possibly interpreted ""more"" as meaning addition.",,,,,,,,,,"Student added the number of boxes in Mr. Rodriguez's class and Mr. Jones's class; possibly interpreted ""more"" as meaning addition.","Solve one-step, compare problems using information presented in a bar graph"
MATH-00048,2,i185048,Compass,q187860,B,C,184.0,7.065217391304348,58.15217391304348,34.78260869565217,,,,MULTICHOICE,,"Which number represents the same amount as 7 tens, 4 ones, and 6 hundreds?",,476,"Student reversed the place values of the largest and smallest units, treating the smallest unit as the leftmost digit and the largest unit as the rightmost digit.",674,Correct.,746,Student listed the digits in the given order instead of ordering the digits according to their place value.,,,,,,,,,,Student listed the digits in the given order instead of ordering the digits according to their place value.,"Given the number of hundreds, tens, and/or ones, write a three- digit number"
